customer_id,first_name,last_name,gender,date_of_birth,city,state,pincode,signup_date,customer_type
C00001,Daksh,Bakshi,Male,1979-05-17,Delhi,Delhi,321819,2024-11-23,Customer
C00002,Anamika,Balan,Female,1967-01-13,Ahmedabad,Gujarat,389083,2025-07-10,Customer
C00003,Shaurya,Kannan,Male,1991-03-25,Chennai,Tamil Nadu,26542,2024-06-16,Customer
C00004,Om,Chaudry,Male,1966-12-21,Visakhapatnam,Andhra Pradesh,155940,2025-07-20,Customer
C00005,Victor,Yadav,Male,1969-02-25,Faridabad,Haryana,184959,2024-05-29,Customer
C00006,Bhavya,Bath,Female,2005-08-28,Mumbai,Maharashtra,413164,2024-12-18,Customer
C00007,Qabil,Gaba,Male,1985-11-06,Bengaluru,Karnataka,341928,2025-07-20,Customer
C00008,Jason,Gade,Male,1992-02-12,Ahmedabad,Gujarat,483503,2025-09-30,Customer
C00009,Amol,Mutti,Male,1987-12-17,Gurugram,Haryana,139537,2024-11-03,Customer
C00010,Veer,Dhar,Male,1978-09-07,Bhubaneswar,Odisha,388496,2025-11-28,Customer
C00011,Sudiksha,Pathak,Female,1975-08-02,Ahmedabad,Gujarat,871012,2025-05-02,Customer
C00012,Gauri,Sami,Female,2001-03-30,Faridabad,Haryana,669784,2025-03-05,Customer
C00013,Aashi,Contractor,Female,2007-01-19,Kanpur,Uttar Pradesh,514627,2024-01-03,Customer
C00014,Karan,Tella,Male,1972-10-25,Ranchi,Jharkhand,489325,2025-08-15,Customer
C00015,Faris,Zacharia,Male,1996-10-01,Bhubaneswar,Odisha,957015,2025-11-13,Customer
C00016,Nikita,Khatri,Female,1964-08-07,Chandigarh,Chandigarh,911718,2025-08-17,Customer
C00017,Edhitha,Dave,Female,2005-07-22,Chennai,Tamil Nadu,824896,2024-06-13,Customer
C00018,Harish,Muni,Male,1987-10-24,Ranchi,Jharkhand,787133,2024-02-19,Customer
C00019,Pallavi,Bail,Female,2000-09-10,Hyderabad,Telangana,930103,2024-02-22,Customer
C00020,Amol,Narayanan,Male,1965-06-25,Indore,Madhya Pradesh,473829,2025-03-23,Customer
C00021,Warjas,Kibe,Male,1992-11-04,Surat,Gujarat,311656,2024-11-15,Customer
C00022,Vinaya,Bhagat,Female,2006-06-25,Kochi,Kerala,65133,2024-05-27,Customer
C00023,Vanya,Dey,Female,1989-05-14,Kanpur,Uttar Pradesh,473178,2024-03-17,Customer
C00024,Aryan,Zachariah,Male,1961-08-30,Dehradun,Uttarakhand,326773,2025-11-02,Customer
C00025,Suhani,Bhargava,Female,1971-11-12,Gurugram,Haryana,64746,2025-06-25,Customer
C00026,Yagnesh,Dubey,Male,1973-07-31,Ludhiana,Punjab,309805,2024-02-14,Customer
C00027,Arya,Sood,Female,1994-11-17,Bengaluru,Karnataka,81219,2024-02-22,Customer
C00028,Kamya,Raval,Female,1968-10-25,Varanasi,Uttar Pradesh,990916,2025-05-25,Customer
C00029,Yutika,Mutti,Female,1978-05-28,Faridabad,Haryana,534624,2024-12-21,Customer
C00030,Nakul,Bora,Male,1961-04-17,Bhubaneswar,Odisha,991183,2025-01-27,Customer
C00031,Kevin,Deo,Male,1984-05-29,Mumbai,Maharashtra,354278,2025-06-30,Customer
C00032,Matthew,Wadhwa,Male,1961-03-11,Ranchi,Jharkhand,124118,2024-04-30,Customer
C00033,Madhavi,Manda,Female,2001-10-26,Bengaluru,Karnataka,534874,2025-12-04,Customer
C00034,Atharv,Chanda,Male,2003-10-28,Agra,Uttar Pradesh,400524,2024-05-05,Customer
C00035,Timothy,Sane,Male,1998-10-30,Indore,Madhya Pradesh,112805,2025-03-28,Customer
C00036,Falak,Sani,Female,1969-05-01,Nagpur,Maharashtra,450533,2025-06-02,Customer
C00037,Dalaja,Pandya,Female,1998-10-04,Kolkata,West Bengal,923226,2024-01-20,Customer
C00038,Hemal,Natarajan,Female,1988-09-04,Surat,Gujarat,421607,2024-06-21,Customer
C00039,Harish,Sharma,Male,1984-06-14,Visakhapatnam,Andhra Pradesh,330365,2024-08-04,Customer
C00040,Bhavya,Mallick,Female,1984-07-21,Bhubaneswar,Odisha,850142,2025-03-26,Customer
C00041,Kevin,Barad,Male,1968-01-14,Kochi,Kerala,556981,2024-10-26,Customer
C00042,Girish,Kumar,Male,1963-09-06,Gurugram,Haryana,88356,2024-02-24,Customer
C00043,Noah,Murthy,Male,2005-10-20,Kolkata,West Bengal,484656,2025-06-25,Customer
C00044,Neelima,Datta,Female,1973-09-18,Indore,Madhya Pradesh,629946,2025-03-01,Customer
C00045,Aachal,Modi,Female,1980-03-08,Ludhiana,Punjab,699577,2024-12-09,Customer
C00046,Hredhaan,Vaidya,Male,1992-11-10,Visakhapatnam,Andhra Pradesh,148951,2025-09-27,Customer
C00047,Kamya,Mukherjee,Female,1975-12-12,Varanasi,Uttar Pradesh,200379,2025-10-22,Customer
C00048,Balhaar,Shah,Male,1988-11-10,Ahmedabad,Gujarat,676320,2025-11-24,Customer
C00049,Chatresh,Sandal,Male,1975-07-21,Kanpur,Uttar Pradesh,870831,2024-12-20,Customer
C00050,Ekani,Shetty,Female,2006-02-01,Indore,Madhya Pradesh,798687,2025-11-27,Customer
C00051,Gauri,Soman,Female,1991-04-15,Bengaluru,Karnataka,348734,2024-12-07,Customer
C00052,Balvan,Mangal,Male,1976-08-13,Ludhiana,Punjab,558122,2024-06-28,Customer
C00053,Sanaya,Dua,Female,1975-03-21,Pune,Maharashtra,665876,2024-02-18,Customer
C00054,Ishanvi,Salvi,Female,1987-03-01,Indore,Madhya Pradesh,967054,2025-08-08,Customer
C00055,Saumya,Saini,Female,1997-04-14,Chennai,Tamil Nadu,734670,2024-10-29,Customer
C00056,Pahal,Ravel,Female,1971-11-22,Chennai,Tamil Nadu,298069,2025-03-14,Customer
C00057,Agastya,Chacko,Male,2004-05-25,Dehradun,Uttarakhand,272046,2024-09-11,Customer
C00058,Jagvi,Sha,Female,1982-11-25,Dehradun,Uttarakhand,646417,2024-01-16,Customer
C00059,Ati,Palla,Female,1975-12-02,Nashik,Maharashtra,3309,2024-04-28,Customer
C00060,Kashvi,Date,Female,1992-11-19,Surat,Gujarat,937452,2025-04-15,Customer
C00061,Dakshesh,Gade,Male,1981-10-28,Chennai,Tamil Nadu,904966,2025-07-09,Customer
C00062,Ira,Borra,Female,2000-12-13,Bengaluru,Karnataka,149190,2024-09-26,Customer
C00063,Tanish,Prabhakar,Male,1965-05-08,Agra,Uttar Pradesh,67165,2025-05-08,Customer
C00064,Victor,Dua,Male,1990-04-18,Chennai,Tamil Nadu,849877,2024-12-04,Customer
C00065,Krish,Naidu,Male,1977-05-13,Kanpur,Uttar Pradesh,473799,2025-06-02,Customer
C00066,Sachi,Nayar,Female,1962-08-12,Kochi,Kerala,527354,2024-09-21,Customer
C00067,Logan,Majumdar,Male,1998-06-25,Indore,Madhya Pradesh,831367,2025-03-07,Customer
C00068,Kavya,Soni,Female,2004-08-12,Kochi,Kerala,701436,2025-06-21,Customer
C00069,Keya,Mohan,Female,2005-11-03,Noida,Uttar Pradesh,788568,2024-09-13,Customer
C00070,Qushi,Setty,Female,1979-02-04,Gurugram,Haryana,431351,2025-07-31,Customer
C00071,George,Handa,Male,1975-05-21,Visakhapatnam,Andhra Pradesh,498941,2025-10-08,Customer
C00072,Gunbir,Minhas,Male,1976-02-21,Visakhapatnam,Andhra Pradesh,240824,2024-02-05,Customer
C00073,Avni,Master,Female,2008-02-13,Ranchi,Jharkhand,710947,2025-01-06,Customer
C00074,Urvi,Oak,Female,1973-03-16,Hyderabad,Telangana,471167,2024-02-27,Customer
C00075,Avni,Doshi,Female,1970-10-24,Bhopal,Madhya Pradesh,131869,2025-04-08,Customer
C00076,Isaiah,Virk,Male,1986-07-18,Nagpur,Maharashtra,749649,2025-04-27,Customer
C00077,Ayushman,Chaudhary,Male,1974-10-19,Dehradun,Uttarakhand,412328,2024-02-28,Customer
C00078,Gaurangi,Agate,Female,1988-06-16,Noida,Uttar Pradesh,974034,2025-07-03,Customer
C00079,Lohit,Setty,Male,1965-07-03,Noida,Uttar Pradesh,493618,2024-06-23,Customer
C00080,Falan,Lata,Male,1970-05-04,Agra,Uttar Pradesh,24994,2024-12-07,Customer
C00081,Diya,Sidhu,Female,2007-07-11,Varanasi,Uttar Pradesh,648877,2024-03-03,Customer
C00082,Anmol,Sankaran,Male,1982-08-05,Chennai,Tamil Nadu,13990,2025-08-17,Customer
C00083,Lipika,Baria,Female,1972-07-31,Ranchi,Jharkhand,874296,2025-05-08,Customer
C00084,Yatan,Chand,Male,1992-08-23,Gurugram,Haryana,655125,2024-11-15,Customer
C00085,Yug,Mani,Male,2005-09-30,Kochi,Kerala,807154,2024-09-08,Customer
C00086,Devika,Raval,Female,1995-09-05,Patna,Bihar,876038,2024-10-08,Customer
C00087,Zaid,Sathe,Male,1964-03-03,Hyderabad,Telangana,482477,2024-04-04,Customer
C00088,Amrita,Khatri,Female,1971-06-09,Nashik,Maharashtra,808613,2025-10-15,Customer
C00089,Deepa,Shenoy,Female,1968-08-26,Ahmedabad,Gujarat,748467,2025-01-01,Customer
C00090,Jairaj,Shan,Male,1998-03-04,Ahmedabad,Gujarat,639821,2024-08-02,Customer
C00091,Sarthak,Oak,Male,1995-03-18,Bengaluru,Karnataka,44997,2025-11-03,Customer
C00092,Falguni,Sekhon,Female,1997-04-23,Varanasi,Uttar Pradesh,558867,2025-12-25,Customer
C00093,Naveen,Gulati,Male,2008-02-15,Ranchi,Jharkhand,963605,2025-08-01,Customer
C00094,Warjas,Raj,Male,1986-12-07,Chennai,Tamil Nadu,702895,2025-11-06,Customer
